MovieId,Movie Name,WikiUrl,actors,Keywords,TwitterHandles,BuffUrl,ImdbUrl,ReviewsUrl,TimesUrl,QuotesUrl,LyricsUrl,BoxOffice
1,DedhIshqiya,https://en.wikipedia.org/wiki/Dedh_Ishqiya,Madhuri Dixit;Arshad Warsi;Naseeruddin Shah;Huma Qureshi,DedhIshqiya; Dedh Ishqiya,DedhIshqiya,http://www.moviebuff.com/dedh-ishqiya,http://www.imdb.com/title/tt2675978/,http://reviewschview.com/dedh-ishqiya/,http://timesofindia.indiatimes.com/entertainment/hindi/movie-reviews/Dedh-Ishqiya/movie-review/28591895.cms,http://www.filmyquotes.com/movies/548,http://www.lyricsmint.com/2013/12/dedh-ishqiya.html,http://www.boxofficeindia.com/Movies/movie_detail/dedh_ishqiya
2,Yaariyan,https://en.wikipedia.org/wiki/Yaariyan_(2014_film),Himansh Kohli;Nicole Faria;Rakul Preet Singh;Shreyas Porus;,Yaariyan movie,Yaariyan,http://www.moviebuff.com/yaariyan,http://www.imdb.com/title/tt3382148/,http://reviewschview.com/yaariyan/,http://timesofindia.indiatimes.com/entertainment/hindi/movie-reviews/Yaariyan/movie-review/28630376.cms,http://www.filmyquotes.com/movies/557,http://www.lyricsmint.com/2013/12/yaariyan.html,http://www.boxofficeindia.com/Movies/movie_detail/yaariyan
3,KarlePyaarKarle,https://en.wikipedia.org/wiki/Karle_Pyaar_Karle,Shiv Darshan;Hasleen Kaur;Aham Sharma,KarlePyaarKarle; Karle Pyaar Karle,KarlePyaarKarle,http://www.moviebuff.com/karle-pyaar-karle,http://www.imdb.com/title/tt3465488/,http://reviewschview.com/karle-pyaar-karle/,http://timesofindia.indiatimes.com/entertainment/hindi/movie-reviews/Karle-Pyaar-Karle/movie-review/28957044.cms,None,None,http://www.boxofficeindia.com/Movies/movie_detail/karle_pyaar_karle
4,ParantheWaliGali,https://en.wikipedia.org/wiki/Paranthe_Wali_Gali,Anuj Saxena; Neha Pawar,ParantheWaliGali review,pwgfilm,http://www.moviebuff.com/paranthe-wali-gali,http://www.imdb.com/title/tt2907156/,http://reviewschview.com/paranthe-wali-gali/,http://timesofindia.indiatimes.com/entertainment/hindi/movie-reviews/Paranthe-Wali-Gali/movie-review/28887994.cms,None,None,http://www.boxofficeindia.com/Movies/movie_detail/paranthe_wali_gali
5,JaiHo,https://en.wikipedia.org/wiki/Jai_Ho_(film),Salman Khan;Tabu;Daisy Shah;Danny Denzongpa,JaiHo; Jai Ho movie,JaiHoOnline,http://www.moviebuff.com/jai-ho,http://www.imdb.com/title/tt1188982/,http://reviewschview.com/jai-ho/,http://timesofindia.indiatimes.com/entertainment/hindi/movie-reviews/Jai-Ho/movie-review/29246331.cms,http://www.filmyquotes.com/movies/541,http://www.lyricsmint.com/2013/12/jai-ho.html,http://boxofficeindia.com/Movies/movie_detail/jai_ho
6,HaseeTohPhasee,https://en.wikipedia.org/wiki/Hasee_Toh_Phasee,Parineeti Chopra;Sidharth Malhotra;Adah Sharma;Manoj Joshi;Sharat Saxena,HaseeTohPhasee; Hasee Toh Phasee,HaseeTohPhasee,http://www.moviebuff.com/hasee-toh-phasee,http://www.imdb.com/title/tt3173910/,http://reviewschview.com/hasee-toh-phasee/,http://timesofindia.indiatimes.com/entertainment/hindi/movie-reviews/Hasee-Toh-Phasee/movie-review/29937657.cms,http://www.filmyquotes.com/movies/558,http://www.lyricsmint.com/2014/01/hasee-toh-phasee.html,http://www.boxofficeindia.com/Movies/movie_detail/hasee_toh_phasee
7,Gunday,https://en.wikipedia.org/wiki/Gunday,Priyanka Chopra;Ranveer Singh;Arjun Kapoor;Irrfan Khan,Gunday,GundayTheFilm,http://www.moviebuff.com/gunday,http://www.imdb.com/title/tt2574698/,http://reviewschview.com/gunday/,http://timesofindia.indiatimes.com/entertainment/hindi/movie-reviews/Gunday/movie-review/30405620.cms,http://www.filmyquotes.com/movies/549,http://www.lyricsmint.com/2014/01/gunday.html,http://boxofficeindia.com/Movies/movie_detail/gunday
8,GulabiGang,https://en.wikipedia.org/wiki/Gulabi_Gang_(film),None,GulabiGang,None,http://www.moviebuff.com/gulabi-gang,http://www.imdb.com/title/tt2196638/,None,None,None,None,http://www.boxofficeindia.com/Movies/movie_detail/gulabi_gang
9,ShaadiKeSideEffects,https://en.wikipedia.org/wiki/Shaadi_Ke_Side_Effects,Farhan Akhtar;Vidya Balan;Ram Kapoor;Vir Das,Shaadi Ke Side Effects,SKSEthefilm,http://www.moviebuff.com/shaadi-ke-side-effects,http://www.imdb.com/title/tt3302962/,http://reviewschview.com/shaadi-ke-side-effects/,http://timesofindia.indiatimes.com/entertainment/hindi/movie-reviews/Shaadi-Ke-Side-Effects/movie-review/31081900.cms,http://www.filmyquotes.com/movies/571,http://www.lyricsmint.com/2014/02/shaadi-ke-side-effects.html,http://www.boxofficeindia.com/Movies/movie_detail/shaadi_ke_side_effects
10,GulaabGang,https://en.wikipedia.org/wiki/Gulaab_Gang,Madhuri Dixit;Juhi Chawla,GulaabGang; Gulaab Gang,None,http://www.moviebuff.com/gulaab-gang,http://www.imdb.com/title/tt2573750/,http://reviewschview.com/gulaab-gang/,http://timesofindia.indiatimes.com/entertainment/hindi/movie-reviews/Gulaab-Gang/movie-review/31602425.cms,http://www.filmyquotes.com/movies/559,None,http://boxofficeindia.com/Movies/movie_detail/gulaab_gang
